commit,conflict_chunks
357b6c6a014ebdea544c4d2e99f53bf9cc266a05,1
8ae399a96be7440524d3cf65113b839314831f69,1
30d8216bf6f394fa14a2403f277465933ab64c86,1
f679c4319cc2c49c2bb11bda2abd6f556d06d583,1
05eebac3b36c87ab83bf61ecf35a5b0d68d5ab57,3
9beec5f17551250dfd8ba3db44ecb18fb4aef19d,1
72538891ddc464be037dbcd4dcd4782924f0efd7,1
54b89cebcc9c5ac7e11bdaaa9241a1ad19bc006e,1
59b4fb4a6405c696c99a6318ee5c46659e755485,4
002f9ca2b18d15089e88e3e20d2891a7f77eb86a,1
fe4d14444faad4d6e3df4ba904359b5ec3ae795c,1
a3d82e9414d769c1ea6d24d9a151f75161b698eb,1
cbd8a2d251b94a31c509d7204ce452d5b170e4d8,1
c4adc38273f078312cdacc88b1fa625401bd83cb,1
f3a4cc1d3a872fe3b9c54cacfb891ec87a97c196,9
0cadf7e888d1ff49bc0b660d4d32def1339a6160,3
41f17c7b4300ed4971a79bf65214eb638183ce4f,1
7c2510eb9c044ebc41c4d643f5adc23835d1c5ea,5
4833a175c2bdd3457bf5194bbaa494ae3bb2a2e6,1
aca13c1d6d8b5357d0a3e0c25ae51dc52382caaa,7
590af46498d128cb3bf2aa1676b7c07b8256357d,15
ebb03f022bee3a51c6408e6d6978934028664612,1
7e1a1bc8b099990a69c6310b900f36ac7cef0c02,1
afb64e2650ac0de1950fe0f54645e574178ad043,1
d158e44374e81fb8ef5870c12b62c6963a9aef64,2
ef158cd23b02dfb3a86a8ceeab07ddee6784be06,1
ddcc2f2af03438c8899a53fc5230dadccc899ecc,1
4c1ebdf1b94f7f684e2dbd467b482d0857584d09,1
2571bbc6f239a2fe2ad74c35cfe35b0e1bebd483,1
9bd22d35b4722ced1ed950092a2f0a291853fdec,5
7798ac1b772b2bea6b4bae92f3fe4e0a306105e8,1
11463ef00b88aa44f269d2cfd4a787d7ee6e0fe9,11
506a4b3dcc90aa827529ed36c5ade011124be4ed,1
c6d431bdf1f26a9aceba48bacb638c4afd5e9e18,1
0ee49561094755f97e8f801c7b21398ea59cc0d5,1
347801b0744f59efd9d60009ac76cd05317af5f9,5
43c54a93e54100f13c2aa63163927f972420ca2d,1
26d9d7a8fd9d73b46be7a3d279f5e9fefebd11e5,2
25e49550cb18abe3f27bef58c363d2661831d825,1
33cf5dda15e3a271304ddd09482f86ef53748578,3
e95e64c4fb09556b9fff5be690b39f65c82e8fcb,1
c6d1409151de14168cbc6c9cc6a04d4242c75682,17
56a2c79fe1177a5711b68d3a4887be9573cdd226,8
146573697490d9f25da6e4a6552a8264212d231d,1
47e5c0df1610804eddfa34bd6d59dd7ba93fb1b1,1
2bd95a2b57f27707c393b5efd073442aa5b442f2,1
61f8878e05163cf8b687c248450aeba72935ec19,7
3e937e9811e79cf192b325401d59bbbb3f352739,35
b4206d3202874b4fd056ed7f075a0905978a98d5,1
c91de1e515d290c1b1207dbcfd0946b4487c0fd6,1
bf7608393981eda92739747f8ca453ca047b8052,4
9432f9703ecdcbfbb77d9f2ef8f2606cac88be52,2
a16428c5b67af68ae9d1320fd1eee7f93b222255,10
a12c78100ecb86726c3287ea9460f74808ea4adb,1
ede5e88a19be7cc6bc294ef21c3bb748c551b2e4,3
42119ecb29e77d8d9a3091c099c93a2d8adaf3eb,1
7ab79d05f0f96dfe4a73bf14b4c4d5f10a4c2f92,3
4971a73c013e155a9b05b49d5f3343a97884c26f,1
492a5d2ff0b64995031adb0854c71393d472427c,1
d0e579478b97ab101c345691978db64d14d0ab96,1
5a2e4ba2aa6bcabbc8bc873c584c4638e6d7cc68,2
299ee5dbf3d09506f30bce50a11173d66c65b58b,6
e694b18ae2847564a6ac8222360ce675b47d15d1,3
b66fdca0578b12d7724491fa34c5f38c97b057f5,4
a649d75ab85108d40c490d52dce84fb5769b06d5,1
2f3d74c04709c7d7f3e6c09930555d1b2affd3d0,1
21623b9c37b716acb024386e8b8e471cd2151b59,1
917b223c6cae343d5e4a1d756e35e1755ef66735,1
d74e6d692db5b76df3d16fed602401b19cd7fc63,1
037306a30cb42160379109058c99d5875d4a428f,1
a28ae68f3ba83b34af5744b0a62397abccd8bec4,1
3bf83445191d98adfc69761a1dca1bc6650f3947,1
152a8b311f9ba82d7127f6be8131e444a1cafd61,1
8eb23dbe5c66561a7a14b2af706be27dc23ef8a6,1
59108322e7069088e3dac72e25796bc495dd190a,1
8b9f5d1827cd4a8542ab6cf672d49397a4f5a876,3
9784d49667202928747ca55fc1cb1f04c1061ec8,2
fed020c382c3062bf4562430873618aacabe726f,3
9d203b9425e774c81a528327909f12c1d7ae73b7,2
847b5141641b0d19e1e03ed0ffdc0356b89897a7,5
25744fcd611c7c942d8a76003c3acab62890dbad,1
1886b2a48eff10e189e9c6947b9fe040b6156f68,12
1f5416f5dde49d762a4565e204bbb2662ecd7e63,1
c05fa7dc6f30a53b75a6fcd99d8a8b5295ea6bfc,1
a180e6d7032de68cde24aa29cec6ce9cc1e70597,4
e38367df8c76af4120c2b01be233a4aab13b69c7,1
2b8c946a65fed38995a4718fe92af2c3c5e58374,2
4c8aeb16bb30eb4060375b282f2c3da5213d22ae,1
5ea1e6f05c2c9c63a7a76bb4484258fa2b245819,3
3e3bc99161220cb3e47e29675f5965745c43c63b,1
086b33f60657d4243bc68e158ef9ae2eba57f0e2,1
daa688b1e14d3211c16f0555420ef0da4f8a4980,1
06fffe6c4b5e8987d20c6592e0238c85ecb0e86d,1
92395a9cfb3042772fdc13cec1667e990cd774ac,2
28ff26e845a2b09379e5e47197664e4a4b0c1f9d,3
79315b0ef6032ceca49933bfd5ef4fef33743b5e,1
648649d472f4972e7d44bb80fddbc91492ba61e3,2
f9ee35dc87dc7a2b28ab565bf7db8654037170be,1
1955a549a2150de9f881e9ecdd6b68370dc6531a,1
7f5a7c9b902bfbc0d52a57a619924c4d91a61ce8,1
3b46d7f50b1a92cfeb4e40dd96e794b38ed30bbe,2
5d0f1bdbe9873a7eab4634887a2faab821ed746d,1
be7082093e2f25302bc36453c062ff59fbcabbd5,4
3b56ef8cbf0bf8c2df8c6d3e1ad5b49ddb2a86d8,3
8f672b2e5f1d13951f14f9606b642f1130d4fa11,1
e0697ecc7fc6961b1c2e531f56e76a98b1a50010,1
e475065b4538ad9250879aca0697bc6025b55195,3
912b6db5d50167a6bd763ae2ff0b482e3af7ca3a,1
ce4b2fa8103471d9241b9a836ddfeceae67fa2ad,4
ed5ad3cee7e0f51de662c9e5a14eb237e2bb313d,1
d50a9fac331faec3812166b63914e672f27c2090,1
d44876f3bcdf9bb585243f35c51f467000a56a6b,2
57281dd97a5c5b5106222ea2db33f0002655a85e,1
c536ef7881e1e2a7007f1a3707f41192ec07e0bb,1
6b2725077abf2499d452c3a42ab72b710cfae16f,2
707bdf3f39d1de3530e0a39f0c0801c83bb2c59f,2
040b1fa497770d0f1332103d65f2800929237008,1
4cf519f2d73f360cb260f51e9eae57ba3d803e91,1
fefb387d3cdcb78bc108d1d0e4723abdae71d7c5,2
7ee74ed4c7351bab551d6ab1c4921d6e41e94a56,1
056c825d188e132dbbb34f13f1935c236e4a659f,2
754cbc2a6788a396d2f4156549f75faa1339dc79,1
4de1a5c23d37bac235606d80d58383c8b14c54bc,1
c4b3381984ed490e61caf3aeea3718b1ccf987d2,4
24db4586e4cd683eb514b84e27e86b605364fe34,1
e43e1ed22e58a69a8fcd7f36d9274493f5b89865,1
9e74e164b606cc33017e5a0887cd8d75e0e6bd28,3
f1a302a139554e2d9d320a4f9efdb6d6e706fd47,1
76c696f1a24178fffded7c4fa74b79bcede0cd57,2
18f2f28ad4e2af5631b5bec28c51b48fff8b83c8,1
6d61cc560e90c5ba13efa052f549278a311b07e8,1
b8b2c88a0a5903d7bf79f5a9bfa06fb08c663131,1
feb60ca0d38816e1eda573f988ea91909c580ad7,1
264ff4a8653a6af0306621510e61e12a1e877bba,5
d6a2cee0d5bb1e4b85e8dd186845a15668a71f6f,1
6c88a7d303b79d0a842585a42744714cc91ca964,1
9efae86238abb0cae0ddaa855c1be707290c1917,1
8980c01549fb0f003da1dca9c460c14f5cb16c6b,2
119f29728091c53c246626a0ab8e0d598bbc905c,2
47b6f043e9922de4ffd47d99512aff130ea8310d,3
12adad88a3fbf02fdd28ca3cd5e1f3d351ad0262,1
dd7835faf407ae95ee9c887804a3f53a49ce4889,1
b298f63e4c722d12a756628c3273a95c6247b36f,1
0d89be26be5b1510763c4e2abf60ed47c3a19ec3,5
1074c6c34ecb64618562f2b422bfa09b46673057,4
95f2d02d18e9dc5864a9a2943026e1e14b28f4a4,6
2c4da1b8dd86d4dc62d21c2dac9d27c39995b9b5,2
8512bee6c9720fc94190a42c59ed9bef402286ff,1
ccc5f8fa666be6d13720ef6b4d98fa529f94b16c,5
46331ded031c5c1c4451ffd3c5e48cbca1a08021,3
fe0cdbf349b661c5f3dfe94cd28b29053ef2a780,4
b9b3daba77eed00179837dc214feb2d3196abda6,1
fd7c3f398062eb596b1e6eec84c73475e7100ee1,1
0e6bc275b73b621a438c856a1657ddfd706244b6,2
e8ce55903468831f469d098394531a75b42dd608,1
e796616921e197d50f4999569614c61272a3a6fd,2
b6d5a1ddd82b0570f62fb32413a6f4c33bd8c72f,2
bd3cfda2bb8f90c023cd58fa3782f30dcab624e4,1
d1e47fd31cafe0674c26ebbc68fa991ef1503e8f,1
bb43b2e79aecafc61b40ded360b4963683316acc,1
3b257988d717a0063adb128b6a98ce1bdbcdd518,1
bf021ab7f79bb6edc0f0823b5a758917e0ece2da,2
2d5b04579fe0a81b8190e0a97b043b0b06f2037f,1
beb2fb08ea66d8f4e2ead78a5683539e7091d087,1
c6770aa83ede83da6c33b0cb1344c05c74a610db,2
75e040b73b213ced67f270a80a58da1466078262,1
cbfa87a3b40a1a5fd0dc8b5100c32b4427ad03da,1
501dc9b76c89b76f181f58affd6ea7088033057f,12
00b86ffac493ee3066b64bbbac984f20e283b81c,4
b2ce4ca6d58323fd006aa8dbcbb0c943f41a8038,3
113a8fa279518720d6813854da17bb74ce847f8a,2
7138d5b88850a00251e3eabc19e6fb79ad6ae7e2,1
dfdcce9785ab68297234eed8b0fa73a6f4f56f16,1
eaafa9eade1065d13426d74f023ed221dc375d59,1
55dc3e1cdfbd10b55df718eedc565768ede97aa9,2
dde46ca9316b4be4818767f4f9126499301bc644,1
96e2a66065bf323d9775d8b62d23c8682ff0876c,5
776d58bf21ed6b53df5f510fe1420d9614438cf1,2
c24c9e20034d4877dd31638f5f4a32eaaf8cfb6b,3
7e415ffdb795f92fe6565194723d727dc85ea745,1
caa6f9b06eb8016e77f6b5e5715767d2cb26bf0e,1
431555195af2f23b8c4b5701516cfa65de76fce7,1
52e049bedc1a50af0ba74b139d2b69e5601e7ffe,4
a50f62dc93dcd4ff5494be780fe54d7d6c0465eb,1
dcbf7301290e95341fca7f248845fc9290485dd8,3
b922f0125749d6a13aa60f3ccbc52e3880d2a4b5,1
7515fd94ba970c6589e1776bbf878b6b46ef27f3,3
af2f1550829f4d26c094fd84a0229475bf2efe5f,1
5afceb39514771343ac29e4b0f90ebf0c2867a79,1
4946eec367f552faccf29a06419fb8688f150b98,1
c5a6e9c6976b43329302fcec6d80cc32e9894068,2
8702b840f5980c406e4902f478788f796442b79d,4
2765c19cce203c5b76d4730fadd639480fcea413,1
a629e91cda4c1485d4e48bda4b126b9fc2d92ea9,1
02ac863d387f7d0d886e479becb98e51e7c21bfe,1
f1af8c1d6ef8fba69e273da8f280ad0634a63c28,1
ccc984c88b6e077db7e5e09f007ebcf3ef323f47,2
352a5abf1121560515ed231d3c6e053d3d2778ae,1
7c733f6dc4244647003a102d9af1140f8a51fbb7,1
43b2c460773bbe90baf1141b107ada70b099b98b,2
0ea06bad31ce1e585e46ba752b78f1676285e225,2
6611246acf51be170f077383e2c92ba1576606c3,1
0beb4bec42c4ee532ac3e877211da657918b924a,1
7690331555c699ccd8722f3b8c199f2d1385e5c6,1
8fee5f8fb2e6af26a499fe51c12d83c366f080aa,2
298db7314c708eda698008b49ba776acb091b473,2
4bc969d1dfc8caad35d902afcd0abd6db5d4f91a,3
69dfdd0745209814b41c0c14e01f3d41ad0d27e8,1
9175194f4790c46ef54c24d1450a3969cd963094,1
35ea8133518db8bcdfa401e0a7b0504654b45aa3,1
e80f5acd50320a41c7fa0c725d600d60f1257344,3
6d561853003b42e3224d3096007b3d1704421fb9,1
0d8547e6407734ce76f174e1bc1abe65c7440b7b,20
7ca4145eb9997d63de4e8397ef4d85dce6fece60,1
c84eeb3ae012a86ee1097ccaca6e29e9a8658027,2
1f4cd6e00d2921eaf88046b2706c3fb49e9fb2b5,1
3998556a0a3064c01c7c237c9056a5215b9feaca,3
ad0d1039830ded1cd680e53c9a3397bcac8c39f0,1
5c3d6abb122ee45663d947309060a2d69142895c,1
5c9b9d87a44c8676de30c93c21861dbf839df856,1
c3719b01769e7266273406547348205acb3ab1d2,1
f4b6cfbdd6e281e96ab27662b11bb99084b0a6f7,1
0b6e994ac629d85518ecd194514d5606813a4e62,2
84673775af2185485bd35b4add8099ca6e495c8e,1
44110cb22a42965666f4b7af21466859147c1d7e,3
ad492ef3449ec6a01fc904602812c91143947713,2
6ab4ca4aae6e1163e248cdc63bb7cfdfce2f4a3b,1
6998c2df8cc2a110fa869c069a20277abb644b1f,1
ab47adbd38646cc308d56dd851df0aa6c07ccd27,1
32a007597ef1c50eab310a3a18f060f6ebb1dfad,1
f004f8c45ddbff2031a4ae29b463e287dcd00790,10
191e607bd6d68d37e8e8540f884d69b0142de8ca,1
a01dc47e69c9d4282ff0359aa848f63df1715a60,2
0ebedeec3a110bee746e1e7357c2dcf782654e15,2
be7d093a4a2263a267e9887dbb2105b69af9fef0,1
479a065c1ba492bd40ff8a3bb76b6a6f464b5aa1,1
d759eb022df5962644b2c0088db07f975bbe2aa1,2
4c1cb16e77f8c8b35f72a2b4286c841164e169b0,1
27c66300e4afdb409248459ea207223401357671,2
f670dd8ff25fee36a9a1348e0eacd8a036cd74e9,1
a3a42e2d6d423fefdc6eafa404bc9365ea6806a1,2
2c4df2d69b599182f2ba4592e8fe4a66bdf4cd1b,3
817467f0a82e68cc3a62c2ae88271368c15e3681,2
e94b163c330941ce3a7ef9ff4818f1380d031ce2,1
ff8203460afaa2f08024618e90c2e8fbb6e24fc4,2
46ed4132419a3bf02c02c8f3b98c2a9416afde34,1
bf4999cb0e9c9fd0ebd46d22ea3a7722683475b8,1
ee8f4364903ddb0c8c99cde235aa5b1e9918c7e7,1
0e7abe4b8fa05b321ac5704e96253e6b7c79779d,1
319cff8010bfe8a4fde5f74fbf080e51a240ec4e,1
a4435305f1a709bc31b54aaf2017ed5598564036,1
32f2e4c4bc4a813e9809af173391b1e7989d2610,1
f067fdb7cd8e9991b0ac921712697b8e5fec3dd5,1
0243a345b7c20f89e73bef00b9d54c855fedb2cb,5
dfed7c453782e4c2efbc3bf2462bfb76f53c26c1,4
f3d486eb9c7f310bc6485ac7e48a7f4c253e2809,4
d058814957d4fb2214c27d7694013779386ea645,1
e46d3b0d27e50c748b2a46547762a44cac4251cf,2
e932e3db050a9b64b12e1b7f9cf268f181011cae,3
bf264c6a6af98d6539a7e0206e250fc1e17c6039,1
4c51d29868a52ab41af843e52efa49cd4f2860b8,4
57a82ac23953340fc4def02bad0b2cd49e07b04c,1
ad83a03440c47855964861e986a116435fd301b0,6
803305a5587c7f91151634a31e753b17b216655d,1
6b6d395d943f1a0b723ecca05f31520ff8cc5afd,1
41fb82b6a091070eb9efe632d33b2a8a4c357dbe,1
70177e5a4dd1f9bea6a26a8f134f2cbb28ebee43,11
62ca5471e4b131f3befa7654c8e75c764c721a4f,5
45f8eae887f3ee2b1a3fb3aa256a60ef525a2229,1
9e864fac30dd1e55538e6a7c319ad75c77e202fc,1
8c671e9f874ae9a4a3fa5f025051591e99ab6138,1
7876d55d688d84d75b0c65c70e99849d5a2564f9,4
d5de6e257f8570ce275e390c838459f450cdcd12,1
639164034f271a6599edb6c895df1875029f8b64,1
769b7bcd89b07f7f1355b935afdb08f17155d447,1
5b673d5a4e1ee6e26e3e1c4e02fb47af1893fe04,13
d1a52b6db8afe5fa30b2e63beb38428ad0c0895d,1
467415af1912cc0092b08530efebade389118902,2
1c99c399d166ef23b926fe991d8d37132da20931,16
6bc35f96df60c32833f5e978e77716c3d0a9f9c7,1
80d5aca049bab42d34389b11375f460676d42722,1
d7eff0ec55349e90fd1082264f03afdcfa366d73,1
ec9aec66862006fd083b27a44552edec3a18daea,1
611018411b430356895369ca724a652d9f8b6930,1
49776d114ce243a4fac7d1dc819c0631e08ff40f,1
231b9885ae5ffc479852170da549c0e623170070,1
e13a4534c87b0485792be5f5d435916e4cfa1c8d,1
0745348bcf98b6c1548a2cfb5437edc1e88f41f9,1
3a069538202d9b223b545640d9ba7b2c5e59e775,1
ab2ede30daec0a945b1daa6400452913c6861e9c,1
00ebe6bbbc2caf88a6dba46d21fb7f144d90b8b2,2
ef4631b5b690d5fa42fa661950ea8a2593cd8429,1
dae4539fbeb4a080f7b73185935988819f695902,1
b3cee41f282348960852cae6aedb52ddca80d6a0,1
9417888f60cf10033e7b1fd7ae505db725e918d6,1
0f485cc98e3ddde0120c09a47231f4d78dac6f4e,1
936c17e550fca63417e4446853bc142cd96e3e02,1
dfa870f514c38bb946621f31fe0af0fa82141602,1
161c9a62b55f62074ed11255807c462163ff4c5b,1
0948f1abdfeb0be1ace97d1bf1f0ba8a65cc0b5e,1
001fe5931ef88522e28309a30127f69cf0b18258,1
b77c45859c3b6931600180c0d809095e1f744c90,2
f3b5c5ad39217b636597826907625f9db6c089fc,1
dfa5ac11a24032b62bf6500c0ef01d5317b39565,1
3876deddf396c3d5918d9d7b10b030d448128470,1
91ef57ed292bde34258ca6051a93b3a03b4e0b51,1
caad40c896780639945ebfc07202e79bb0690829,1
29a9a9d2ed77a5ac62fbb3d78d4f4178af7082cf,1
91bdc20b8102f6ed4418a1fe229a3465827044a2,1
90e019a4ac38e116e3ba59147db4881f50cb44f5,1
43653d7f032d911f092d210f19cdb8ec60d98306,1
6a963e88456f70c397d2cbcf9bf1e11923d6e9fc,4
323fabf6a2a571fd36ebd054f08e88a5fcb6c1c0,2
2b748dd8a729ac14f39366875bc89160e020e31d,1
2f6c16c9411790cdccc81d598e5428ae80a4c1b9,1
816f3774e1d0a97b021a0c75c248b8a69bc1993d,2
21a5f25d93366cb45701c3e05d53380858a2cb1f,1
192166d61a280288979b4497f5e493d36446a963,1
1a16a755b469aed67205a8be92b3dd68c0665941,1
61f128865b4ece8d41410672576913ac1a0cc68b,1
7fff476a628d6f51394db7b7a53f7585c1fa86ce,1
3c1c00cc1b3ba0e8c7a84970fb4f07804fe81ba1,1
5c7c97f3dffb27301fe2f4e9f1d450ca6fbb17d4,1
cc3abee58a9cd8279ab83b0b47b9c43822f37890,3
d9e1fcc70bc0babad05ca453c4b9acd9857d5471,3
55172c66e9e508c713e844859fdf3e9e9af2d470,2
1c5c973823fc80f2bffc24207ac0ed3e60edbc56,1
84bd000d025591c07daa8845db0605c7ec80fe47,1
87606c8072e46527d8ef96d9397e0b2641fb64b3,1
6e4094731acee5207595a8416d19508107ea475d,2
7d1b50981277c59a788298751f121567a1e75202,1
a0c0447b8eda07529eec2ae8fbc6bf68e1ff2d67,1
fcb2a7e4a3c7899a3432f5804889fa3ea5779220,1
06dbc1ea5768618337bf11e5f64c4f9f14a68008,14
6f3abb7a8743bbd0bffa11a3f5df84d0da532c59,1
13ac90a47878b0bb26375a1a6901a629aa2b2def,1
ee459baa5ce0a144e013a4995fd5be96bbecd05e,1
eb4f4076aa89d38221ee513a5f28f22124029c90,1
0591c0a5be7d58dfe2c69c8a81b2cebbb0337320,2
bf650608be7cc16fff7e477d9bf518720a16eb05,1
3736c925580f678f601d670983f7f6cda791d108,1
4ca8ae712c1bf73bf41247aed119a44acc01de03,1
5c674860eb8bfa1a8c0038fc2d32c4fc205e9d62,4
7b09c459d346d9bf30ab07921a9b0ee91405d104,1
169c9c0169a00876f699678ac66ebe9563b0c29f,15
9215f76fb6d938ae93889f46f27cff22723fe0e4,1
c51afbbd18f51beb186afdfa8bbe35c13a782df7,3
1dcfb2ac65cec5a706784d92523f0c53de0a8d95,1
5dc1308562ab5991ecada68b06707709bea408c9,2
8c2ea51254b41810edf4ee1ac8b2272a784b15df,1
f63ed085e20da82a8b7b49d90c61d0eb1b2ed19d,1
f4784b3eab2e12e7a8fda7431572753f3a970c63,1
d4c436975214d8f94d38f9be0ef709b4714fc821,2
5cba1229d8246da2a6d1d956eeed8227f69e185b,2
a660534e06147f8867d6c9b6c41025427a7b5c6c,1
2c8f8b19d4f293edd78885880ed1a6166395ffdd,1
92e22ca0a22a916a806d801f8d2f5f26bc92ddc4,6
1fe6f5fb0a4bf348b22790b4d766a463e013a384,1
6517452d7a4269e9a34648a28b8931640299f458,5
75a7ea258c0644b79e57cab3a345807f4017dfd2,1
0ecd94d7d728606e0047a44e60a277ff4e7b3990,1
267123b4299ea2c2f090ef169f9fc5039897cd72,3
f78eeeaf55a4f60a05d3e6452f29a2214c29b6fd,3
72d9b222a940c93a8d915c26a4d5d077e23be871,1
dceab837557077f70bf082727645925aec443500,1
c9672ba4c86a5fb18ea20d1c4a2c0eb6a731f3cb,3
105c21df14531bf2fd39e05b4c3a9aa31349da06,2
4662231e5654924c78fcb4b630fb48c58b945b7f,2
edb7e82f72106add9f2fbaf9d99d9532a72e3f91,1
8d676d85f772ce3a100b6f0dddd1c34a7e4313cf,2
762655010d6f051f632a77b8c5b95b9f5cad02c9,1
632d3f4b5b80700c6c7c3637d6a4d1d9a457f7e1,1
fdca2bed90a7991f2a3afc6a463e45acb03487ac,1
f0bc498ec17eeb046c3494126e2ff12339abde77,2
744ea70c7acaa74249ede91d71de9535c1db1431,1
eae7d64a2da085d7aed0671149611e417ca794e3,7
b11cf09043f18b368ec0d988f064ea21247c843d,1
9831b370b5e50b81faf47d858cd8c6e9e2200204,1
8130949bdc9c36f527148205b86a2ffe551cac53,2
20cf8b548ebd7d5ec98729b4bb8ae5af435a22ff,2
f253376dcbadb384d8c8af287c3f9e2271cb5ff4,1
34c6dbdef439f7cd93d3fe22493a3c1496ce96f7,1
fed276e7524d6a80ae5dec037d586bd28543fc79,5
0341091a9ec47576a2fdfab181145fa94c04b810,1
cc61ae82ec581f6cf1a38a45aaef894f085ccb16,3
992221d05e42ad9f65a88318ca6339aa1c39fc79,3
5a4d707a6d914fcea302e299fc18892d9e42c767,1
cf6981d4932007555689052cbc255b911674b01c,2
8a3fbdd9e6c37c74b12fd0e8bd7cde8372861288,1
0c926a3d9c34396636c2fea7a0cd5a4200ea298b,1
8bb65883d164843d5bb7475281af09bae18ab22d,4
cab31fa076253fcfafa7572c24e40f12a1e09ae3,2
76db9dec8132d4377f6c32e4d45eb75fa0cc7a9a,1
b8ed7f0f40743dae6111c8950ba55051933298ca,1
7061cf0f205e86613c3a3306fdfedf2a5dcc8a65,2
fef1c4c0a0766b83cfacaf6276d7bd0d1aa9a2e4,1
990732609ce735c482e571ad95767edf1d693b41,1
2de3c142d3dc4ef329a3984af32583cf1e5af432,1
5e97f464df082d8f45e163bbf24341dceeafe89d,1
17d778e710f9dacc770b5790e792b85cdba75a9d,3
bed625540a0e1a4ba4da9962ed53c1d83d9bf509,1
4f2d651e5b3414eac5d22ff47366d22c8cc289f6,2
6e31fa9cc263ee6a65123fbe47dfc87592adcfb0,1
1ddb4d7e5ed478ec7a0335090482c1944a64aca5,3
d78f06a1b70f3743899b5494f55a456596e51a63,2
af0178aec7c38cb17bc641bc361656cc90bc6b79,1
c433c8f5bbb6e0d4337145500e282ceb310b2fe3,1
3c94919144a704724977ac87758f958be34a3eda,1
d75bb73bcf2ecce38c147980aac0cbc27a6b838a,1
fc92b0878ccaa128e7c4505788f7c477284f0021,2
96c6bb566ee5354a1b07530a94d3f85055e46032,1
0efa3d74e705ed2c66c33854ac4bfd0d6c7f56de,1
a849d36cf2877a1890371851710382f463290978,2
93424a0fd882a3ed1c1f7a8b6fe71fdaa21cce99,1
ead51a75d5ca432daa7429b70d363dba0cdf6507,1
cac7a2ba7be9354cfc02e14b50d35c4e9cf2b4d7,1
af8ac73801eebf0f3690c3875751eb9e108ceda8,2
3a2a1dc17077a27ad1a89db27cb1b4b374f3b0ff,6
885d492f69a80ae3e91c1310a63caf0aeb567f2a,3
556de1a8e38ff03d31fd35751582447001f39d0c,4
ebb1f6fe9d741151a737a8d509fab7339f18af63,2
3def5e9a8de16c505d369187ac3ec2ff87ab562a,1
